"","X","Job_Title","Industry","State","Salary","Date","SalaryCleaned","Extra","SalaryUnit","Units","JobDate","weekday"
"1",1,"Graduate Data Scientist","(Science & Technology)","VIC",NA,2,NA,NA,NA,"No",2023-06-24,7
"2",2,"Data Scientist (contract)","(Science & Technology)","NSW","Up to $1050 / Day",NA,277200,NA,"PerDay","No",2023-06-26,2
"3",3,"Research Data Scientist","(Science & Technology)","NSW",NA,5,NA,NA,NA,"No",2023-06-21,4
"4",4,"Data Scientist","(Information & Communication Technology)","QLD",NA,5,NA,NA,NA,"No",2023-06-21,4
"5",5,"Research Data Scientist","(Science & Technology)","VIC",NA,5,NA,NA,NA,"No",2023-06-21,4
"6",6,"Data Scientist","(Science & Technology)","NSW",NA,11,NA,NA,NA,"No",2023-06-15,5
"7",7,"Valuation Data Scientist","(Consulting & Strategy)","NSW","Salary ranges from $101,947 to $112,849 + super",4,NA,NA,NA,"No",2023-06-22,5
"8",8,"Data Scientist","(Information & Communication Technology)","VIC","VPS4 $91,418.00 - $103,725.00",9,NA,NA,NA,"No",2023-06-17,7
"9",9,"Senior Data Scientist/Analyst","(Information & Communication Technology)","VIC","$140k-$180k Package DOE",2,NA,"$180k ",NA,"Yes",2023-06-24,7
"10",10,"Pricing Data Scientist - Brisbane","(Insurance & Superannuation)","QLD",NA,6,NA,NA,NA,"No",2023-06-20,3
"11",11,"Senior Machine Learning Engineer (multiple Roles)","(Information & Communication Technology)","NSW",NA,2,NA,NA,NA,"No",2023-06-24,7
"12",12,"Early Career Data Scientist","(Consulting & Strategy)","VIC",NA,5,NA,NA,NA,"No",2023-06-21,4
"13",13,"Data Scientist","(Mining, Resources & Energy)","SA","ASO6, $95,588 - $101,109 per annum",9,95588,NA,"PerYear","No",2023-06-17,7
"14",14,"2023/2223 - EL 1 - Ecologist/Data Scientist","(Science & Technology)","NT",NA,4,NA,NA,NA,"No",2023-06-22,5
"15",15,"Data Science Lead Trainer","(Science & Technology)","NSW","$20,000 per project, equiv $83 per hour",2,NA,NA,NA,"No",2023-06-24,7
"16",16,"2023/2222 - Research Scientist - (APS 6 - EL 1) - Ecologist/Data Scientist","(Science & Technology)","NT",NA,4,NA,NA,NA,"No",2023-06-22,5
"17",17,"Assistant Trainer Data Science","(Science & Technology)","WA",NA,5,NA,NA,NA,"No",2023-06-21,4
"18",18,"Data Analyst","(Information & Communication Technology)","NSW",NA,2,NA,NA,NA,"No",2023-06-24,7
"19",19,"Senior Data Scientist","(Accounting)","VIC","VPS4.1 - $91,418 - $103,725 + super",6,NA,NA,NA,"No",2023-06-20,3
"20",20,"Senior Data Scientist :: Long Term Day Rate Contract","(Information & Communication Technology)","VIC",NA,12,NA,NA,NA,"No",2023-06-14,4
"21",21,"Data Engineer","(Information & Communication Technology)","QLD",NA,2,NA,NA,NA,"No",2023-06-24,7
"22",22,"Senior Data Scientist","(Information & Communication Technology)","NSW",NA,9,NA,NA,NA,"No",2023-06-17,7
"23",23,"Data Engineer","(Information & Communication Technology)","QLD",NA,NA,NA,NA,NA,"No",2023-06-26,2
"24",24,"Business Development Manager - Data Science","(Science & Technology)","NSW","Senior Appointment",2,NA,NA,NA,"No",2023-06-24,7
"25",25,"Data Engineer","(Information & Communication Technology)","SA","$130k - $140k p.a.",4,NA,NA,NA,"Yes",2023-06-22,5
"26",26,"Data Engineer","(Information & Communication Technology)","QLD",NA,2,NA,NA,NA,"No",2023-06-24,7
"27",27,"Data Engineer","(Information & Communication Technology)","NSW","Up to $900 p.d.",2,237600,NA,"PerDay","No",2023-06-24,7
"28",28,"Principal Data Scientist","(Science & Technology)","NSW",NA,16,NA,NA,NA,"No",2023-06-10,7
"29",29,"Principal Data Scientist","(Science & Technology)","VIC",NA,16,NA,NA,NA,"No",2023-06-10,7
"30",30,"Data Engineer","(Information & Communication Technology)","NSW","$115,000 – $140,000 per year",5,115000,NA,"PerYear","No",2023-06-21,4
"31",31,"Data Engineer","(Information & Communication Technology)","VIC",NA,4,NA,NA,NA,"No",2023-06-22,5
"32",32,"Data Engineer","(Information & Communication Technology)","NSW",NA,2,NA,NA,NA,"No",2023-06-24,7
"33",33,"Machine Learning Engineer","(Information & Communication Technology)","NSW","Up to 130k + super",10,NA,NA,NA,"Yes",2023-06-16,6
"34",34,"Lead Data Modeler","(Information & Communication Technology)","NSW",NA,3,NA,NA,NA,"No",2023-06-23,6
"35",35,"Junior Data Engineer","(Information & Communication Technology)","NSW",NA,2,NA,NA,NA,"No",2023-06-24,7
"36",36,"Data Engineer - AWS, Matillion, SQL","(Information & Communication Technology)","NSW","$800 - $950 p.d. + + Super + WFH Flex",2,211200,NA,"PerDay","No",2023-06-24,7
"37",37,"Principal Data Scientist - (Recommendations)","(Science & Technology)","QLD",NA,18,NA,NA,NA,"No",2023-06-08,5
"38",38,"Data Engineer","(Information & Communication Technology)","VIC","$1000 -$1200",3,NA,NA,NA,"No",2023-06-23,6
"39",39,"PHI Data Engineer","(Engineering)","WA",NA,4,NA,NA,NA,"No",2023-06-22,5
"40",40,"Data Scientist (Deep Learning)","(Information & Communication Technology)","ACT",NA,18,NA,NA,NA,"No",2023-06-08,5
"41",41,"Data Engineer - Contract","(Information & Communication Technology)","VIC",NA,3,NA,NA,NA,"No",2023-06-23,6
"42",42,"Data Engineer","(Information & Communication Technology)","VIC",NA,2,NA,NA,NA,"No",2023-06-24,7
"43",43,"Data Engineer / Analyst - SQL - Growing team in successful company - Adelaide","(Information & Communication Technology)","SA",NA,5,NA,NA,NA,"No",2023-06-21,4
"44",44,"Research Associate Ice sheet modelling and data science","(Science & Technology)","TAS","Great staff benefits including 17% super",2,NA,NA,NA,"No",2023-06-24,7
"45",45,"Data Engineer","(Information & Communication Technology)","QLD","Increase take home pay with Salary Packaging",5,NA,NA,NA,"Yes",2023-06-21,4
"46",46,"Data Engineer","(Information & Communication Technology)","VIC","$115 - $130 p.a. +Superannuation",6,NA,NA,NA,"No",2023-06-20,3
"47",47,"Azure Data Engineer","(Information & Communication Technology)","QLD","$55,000-$65,000 plus super",NA,NA,"$65,000 ",NA,"No",2023-06-26,2
"48",48,"Senior Data Engineer","(Information & Communication Technology)","VIC","$105,479 - $127,621 p.a. plus superannuation",5,NA,NA,NA,"No",2023-06-21,4
"49",49,"Data Engineer - Immediate Start (Long term project) x5 roles","(Information & Communication Technology)","NSW",NA,4,NA,NA,NA,"No",2023-06-22,5
"50",50,"Data Engineer","(Information & Communication Technology)","SA",NA,9,NA,NA,NA,"No",2023-06-17,7
"51",51,"Senior Data Engineer - Data & Analytics","(Information & Communication Technology)","VIC",NA,6,NA,NA,NA,"No",2023-06-20,3
"52",52,"Senior Data Scientist","(Information & Communication Technology)","VIC",NA,16,NA,NA,NA,"No",2023-06-10,7
"53",53,"Data Engineers, Competitive Intelligence and Analytics","(Information & Communication Technology)","NSW","$126,502 to $140,431 p.a.",3,NA,NA,NA,"No",2023-06-23,6
"54",54,"AWS Data Architect","(Information & Communication Technology)","QLD","Flexible Day Rate",NA,NA,NA,"PerDay","No",2023-06-26,2
"55",55,"Head of Data Science","(Banking & Financial Services)","NSW","$180k - $200k p.a. + + super",12,NA,NA,NA,"Yes",2023-06-14,4
"56",56,"Senior Data Engineer | AWS, Snowflake, Matillion","(Information & Communication Technology)","QLD","$140-150k+Super+Bonus",3,NA,"",NA,"Yes",2023-06-23,6
"57",57,"Data Engineer","(Information & Communication Technology)","NSW",NA,11,NA,NA,NA,"No",2023-06-15,5
"58",58,"Senior Data Engineer","(Information & Communication Technology)","VIC",NA,3,NA,NA,NA,"No",2023-06-23,6
"59",59,"Data Engineer - 12 Months","(Information & Communication Technology)","NSW",NA,2,NA,NA,NA,"No",2023-06-24,7
"60",60,"Data Engineer","(Information & Communication Technology)","QLD",NA,9,NA,NA,NA,"No",2023-06-17,7
"61",61,"Data Analyst/Statistician","(Information & Communication Technology)","VIC",NA,4,NA,NA,NA,"No",2023-06-22,5
"62",62,"Lead Data Engineer","(Information & Communication Technology)","NSW",NA,5,NA,NA,NA,"No",2023-06-21,4
"63",63,"Data Engineer AI Developer","(Information & Communication Technology)","NSW","$111,595 to $124,315 plus super and leave loading",6,NA,NA,NA,"No",2023-06-20,3
"64",64,"Lead Data Engineer","(Information & Communication Technology)","NSW",NA,5,NA,NA,NA,"No",2023-06-21,4
"65",65,"Senior Data Scientist","(Information & Communication Technology)","NSW",NA,19,NA,NA,NA,"No",2023-06-07,4
"66",66,"Data Engineer","(Information & Communication Technology)","NSW",NA,4,NA,NA,NA,"No",2023-06-22,5
"67",67,"Data Scientist","(Science & Technology)","VIC",NA,25,NA,NA,NA,"No",2023-06-01,5
"68",68,"Senior Machine Learning Engineer","(Information & Communication Technology)","NSW",NA,17,NA,NA,NA,"No",2023-06-09,6
"69",69,"Azure Data Specialist","(Information & Communication Technology)","VIC",NA,2,NA,NA,NA,"No",2023-06-24,7
"70",70,"Lead Data Engineer","(Information & Communication Technology)","NSW",NA,5,NA,NA,NA,"No",2023-06-21,4
"71",71,"Consultant - AI and Analytics","(Information & Communication Technology)","QLD",NA,2,NA,NA,NA,"No",2023-06-24,7
"72",72,"Data Engineer","(Information & Communication Technology)","ACT",NA,6,NA,NA,NA,"No",2023-06-20,3
"73",73,"Data Engineer","(Information & Communication Technology)","QLD",NA,9,NA,NA,NA,"No",2023-06-17,7
"74",74,"Azure Data Engineer","(Information & Communication Technology)","VIC",NA,2,NA,NA,NA,"No",2023-06-24,7
"75",75,"Senior Data Engineer","(Information & Communication Technology)","NSW","$150k - $190k p.a.",3,NA,NA,NA,"Yes",2023-06-23,6
"76",76,"Business Intelligence Data Engineer","(Information & Communication Technology)","VIC",NA,6,NA,NA,NA,"No",2023-06-20,3
"77",77,"Senior Machine Learning Engineer","(Information & Communication Technology)","NSW","$130,000 - $150,000 + Bonus + Super",16,NA,NA,NA,"No",2023-06-10,7
"78",78,"Azure Data Engineer","(Information & Communication Technology)","NSW","$110,000 – $120,000 per year",4,110000,NA,"PerYear","No",2023-06-22,5
"79",79,"Data Engineer","(Information & Communication Technology)","QLD",NA,10,NA,NA,NA,"No",2023-06-16,6
"80",80,"Data Engineer / Analyst - SQL - Growing team in successful company - WFH","(Information & Communication Technology)","NSW",NA,2,NA,NA,NA,"No",2023-06-24,7
"81",81,"Data Scientist","(Information & Communication Technology)","VIC",NA,24,NA,NA,NA,"No",2023-06-02,6
"82",82,"Data Platform Engineer","(Information & Communication Technology)","VIC",NA,4,NA,NA,NA,"No",2023-06-22,5
"83",83,"Data Engineer","(Information & Communication Technology)","SA",NA,11,NA,NA,NA,"No",2023-06-15,5
"84",84,"Analytics and Data Science Contract! Remote Friendly from Syd, Melb, Bris","(Science & Technology)","NSW","$750-$950 Per Day",17,198000,"$950 ","PerDay","No",2023-06-09,6
"85",85,"Data Engineer","(Information & Communication Technology)","NSW",NA,11,NA,NA,NA,"No",2023-06-15,5
"86",86,"Senior Data Engineer - 12 months -  Government","(Information & Communication Technology)","NSW",NA,3,NA,NA,NA,"No",2023-06-23,6
"87",87,"Senior Data Engineer","(Information & Communication Technology)","VIC","Competitive salary + free lunches + perks galore!",4,NA,NA,NA,"Yes",2023-06-22,5
"88",88,"Senior Data Engineer","(Information & Communication Technology)","NSW",NA,4,NA,NA,NA,"No",2023-06-22,5
"89",89,"Cloud Data Engineer","(Information & Communication Technology)","NSW",NA,7,NA,NA,NA,"No",2023-06-19,2
"90",90,"AWS Data Engineer (108685BR)","(Information & Communication Technology)","WA",NA,5,NA,NA,NA,"No",2023-06-21,4
"91",91,"Data Engineer","(Information & Communication Technology)","NSW",NA,18,NA,NA,NA,"No",2023-06-08,5
"92",92,"Pricing Data Scientist","(Insurance & Superannuation)","QLD",NA,23,NA,NA,NA,"No",2023-06-03,7
"93",93,"Data Engineer","(Information & Communication Technology)","VIC",NA,11,NA,NA,NA,"No",2023-06-15,5
"94",94,"Senior Data Engineer","(Information & Communication Technology)","NSW","Competitive Daily Rate",3,NA,NA,NA,"No",2023-06-23,6
"95",95,"Senior Data Engineer","(Information & Communication Technology)","ACT",NA,2,NA,NA,NA,"No",2023-06-24,7
"96",96,"Senior Data Scientist","(Information & Communication Technology)","NSW",NA,25,NA,NA,NA,"No",2023-06-01,5
"97",97,"Senior Data Engineer","(Insurance & Superannuation)","NSW","$150k - $165k p.a.",11,NA,NA,NA,"Yes",2023-06-15,5
"98",98,"Lead Data Engineer","(Information & Communication Technology)","NSW","Up to 170k + super",10,NA,NA,NA,"Yes",2023-06-16,6
"99",99,"Data Engineer","(Information & Communication Technology)","VIC","CBD/WFH hybrid, ASAP start",9,NA,NA,NA,"No",2023-06-17,7
"100",100,"Senior Data Scientist","(Information & Communication Technology)","VIC",NA,25,NA,NA,NA,"No",2023-06-01,5
"101",101,"Data Engineer","(Information & Communication Technology)","VIC","Competitive package with annual bonus",16,NA,NA,NA,"Yes",2023-06-10,7
"102",102,"Data Engineer","(Information & Communication Technology)","NSW","Competitive package with annual bonus",16,NA,NA,NA,"Yes",2023-06-10,7
"103",103,"Data Engineer","(Information & Communication Technology)","SA","Competitive package with annual bonus",16,NA,NA,NA,"Yes",2023-06-10,7
"104",104,"Machine Learning Engineer - (Junior-Mid)","(Information & Communication Technology)","NSW",NA,24,NA,NA,NA,"No",2023-06-02,6
"105",105,"Senior Data Scientist - Award-winning Global Fintech","(Information & Communication Technology)","NSW","Fantastic culture and career growth opportunities",24,NA,NA,NA,"No",2023-06-02,6
"106",106,"Lead Data Scientist - Pricing","(Science & Technology)","VIC",NA,24,NA,NA,NA,"No",2023-06-02,6
"107",107,"Product Manager - Data Analytics","(Information & Communication Technology)","NSW",NA,3,NA,NA,NA,"No",2023-06-23,6
"108",108,"Senior Data Engineer","(Information & Communication Technology)","VIC",NA,6,NA,NA,NA,"No",2023-06-20,3
"109",109,"Data Engineer - 6-12 Month Contract","(Information & Communication Technology)","NSW",NA,12,NA,NA,NA,"No",2023-06-14,4
"110",110,"Cloud Data Engineer","(Information & Communication Technology)","VIC","Base Salary + 10.5% super + NFP Salary Packaging",9,NA,NA,NA,"Yes",2023-06-17,7
"111",111,"Senior Data Scientist","(Science & Technology)","VIC",NA,27,NA,NA,NA,"No",2023-05-30,3
"112",112,"Senior Data Engineer","(Information & Communication Technology)","VIC",NA,5,NA,NA,NA,"No",2023-06-21,4
"113",113,"Machine Learning Software Engineer","(Information & Communication Technology)","QLD","$130,000 – $140,000 per year",16,130000,NA,"PerYear","No",2023-06-10,7
"114",114,"Lead Data Scientist","(Science & Technology)","VIC",NA,27,NA,NA,NA,"No",2023-05-30,3
"115",115,"Data Engineering and Analytics Lead","(Information & Communication Technology)","VIC",NA,11,NA,NA,NA,"No",2023-06-15,5
"116",116,"Senior Data Engineer","(Information & Communication Technology)","VIC","Salary flexible based on experience",5,NA,NA,NA,"No",2023-06-21,4
"117",117,"Data Ops Engineer","(Information & Communication Technology)","NSW",NA,10,NA,NA,NA,"No",2023-06-16,6
"118",118,"Principal Consultant - Data Platforms","(Information & Communication Technology)","NSW","Competitive Salary + Income Protection",2,NA,NA,NA,"No",2023-06-24,7
"119",119,"Senior Biostatistician","(Science & Technology)","VIC","$140,000 – $150,000 per year",10,140000,NA,"PerYear","No",2023-06-16,6
"120",120,"Data Engineering Lead - Greenfield Project","(Information & Communication Technology)","NSW",NA,10,NA,NA,NA,"No",2023-06-16,6
"121",121,"Technical Lead | ABC’s Data Platforms","(Information & Communication Technology)","NSW",NA,3,NA,NA,NA,"No",2023-06-23,6
"122",122,"Senior Data Engineer","(Information & Communication Technology)","VIC",NA,3,NA,NA,NA,"No",2023-06-23,6
"123",123,"Statistician Urgently required","(Science & Technology)","VIC","$70,000 – $90,000 per year",12,70000,NA,"PerYear","No",2023-06-14,4
"124",124,"Data Science Lead Trainer","(Science & Technology)","WA",NA,23,NA,NA,NA,"No",2023-06-03,7
"125",125,"Technical Lead | ABC’s Data Platforms","(Information & Communication Technology)","QLD",NA,3,NA,NA,NA,"No",2023-06-23,6
"126",126,"Data Engineer / Software Engineer","(Information & Communication Technology)","NSW","$120,000 - $140,000 base + super + bonus",17,NA,NA,NA,"No",2023-06-09,6
"127",127,"Senior Data Engineer - Spark & Scala","(Information & Communication Technology)","NSW",NA,3,NA,NA,NA,"No",2023-06-23,6
"128",128,"Senior Biostatistician","(Science & Technology)","NSW","Competitive salary, bonus and benefits",6,NA,NA,NA,"No",2023-06-20,3
"129",129,"Data Engineer | 6 months | Snowflake, DBT/Azure Datafactory","(Information & Communication Technology)","NSW",NA,10,NA,NA,NA,"No",2023-06-16,6
"130",130,"Technical Lead | ABC’s Data Platforms","(Information & Communication Technology)","VIC",NA,3,NA,NA,NA,"No",2023-06-23,6
"131",131,"ASO4 Data Engineer","(Government & Defence)","SA","$48.35 - $49.93 p.h. + Super",18,NA,NA,NA,"No",2023-06-08,5
"132",132,"Data Engineer","(Science & Technology)","VIC",NA,19,NA,NA,NA,"No",2023-06-07,4
"133",133,"Data Engineering Chapter Lead - Data Products and Optimisation","(Information & Communication Technology)","NSW","Base Salary + Bonus + Super",4,NA,NA,NA,"No",2023-06-22,5
"134",134,"Junior Data Consultant","(Information & Communication Technology)","VIC","$35 - $39.99 per hour",22,NA,NA,NA,"No",2023-06-04,1
"135",135,"Graduate/Junior Data&Machine Learning Engineer - Robotics/Electronics","(Information & Communication Technology)","NSW",NA,24,NA,NA,NA,"No",2023-06-02,6
"136",136,"Data Engineer - 12 + 12 + 12 Months","(Information & Communication Technology)","ACT","$140+ per hour",6,NA,NA,NA,"No",2023-06-20,3
"137",137,"Machine Learning Engineer","(Engineering)","SA","Competitive salary package on offer",20,NA,NA,NA,"Yes",2023-06-06,3
"138",138,"Data Engineer","(Information & Communication Technology)","QLD","$140,000 + Super + Bonus",19,NA,NA,NA,"No",2023-06-07,4
"139",139,"Data Engineer","(Information & Communication Technology)","NSW","Salary commensurate to experience",19,NA,NA,NA,"No",2023-06-07,4
"140",140,"Data Engineer","(Information & Communication Technology)","NSW",NA,19,NA,NA,NA,"No",2023-06-07,4
"141",141,"Data Engineer","(Information & Communication Technology)","NSW","Up to $150K + super",17,NA,NA,NA,"Yes",2023-06-09,6
"142",142,"Head of Data Driven Engagement","(Science & Technology)","VIC",NA,5,NA,NA,NA,"No",2023-06-21,4
"143",143,"Senior Data Engineer","(Information & Communication Technology)","NSW","$117324 - $141313 p.a.",6,NA,NA,NA,"No",2023-06-20,3
"144",144,"Online Data Analyst - Australia","(Information & Communication Technology)","Far",NA,19,NA,NA,NA,"No",2023-06-07,4
"145",145,"Senior Machine Learning Scientist","(Information & Communication Technology)","NSW",NA,23,NA,NA,NA,"No",2023-06-03,7
"146",146,"Data Engineer","(Information & Communication Technology)","NSW",NA,16,NA,NA,NA,"No",2023-06-10,7
"147",147,"Azure Data Test Engineer","(Information & Communication Technology)","VIC",NA,2,NA,NA,NA,"No",2023-06-24,7
"148",148,"Senior Data Engineer","(Information & Communication Technology)","NSW","$130k - $150k p.a. + + Super",16,NA,NA,NA,"Yes",2023-06-10,7
"149",149,"Senior Data Engineer","(Information & Communication Technology)","NSW",NA,9,NA,NA,NA,"No",2023-06-17,7
"150",150,"Senior Data Engineer","(Information & Communication Technology)","VIC","Base + Superannuation + Bonus",11,NA,NA,NA,"No",2023-06-15,5
